OBJECTID,PREFIX,NAME,TYPE,SUFFIX,POLICENAME,POLICETYPE,Date_Added,Editor,Method,FULLPOLNAME,CarteID,CrossStreetA,CrossStreetB,Date_Changed,FULL_NAME,LF_Addr,LT_Addr,RF_Addr,RT_Addr,MATERIAL,OWNER,FUNCTIONALCLASSIFICATION,JURISDICTION,ROUTESYSTEM,ROUTENUMBER,SpeedLimit,Scenic,RowWidth,AcceptDate,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNILEFT,MUNIRIGHT,ZIPLEFT,ZIPRIGHT,STATELEFT,STATERIGHT,OneWay
1, ,PULPIT HILL,RD, ,PULPIT HILL,RD,,OlkinM,,PULPIT HILL RD,,MILL ST, ,,PULPIT HILL RD,122,524,121,525,2,1,0,2,,,,1,33',1759/04/15 00:00:00+00,{504DD01D-5BE6-437A-AA88-65D9E4561233},,,olkinm,2013/07/29 19:12:42+00,AMHERST,AMHERST,01002,01002,MA,MA,
2, ,PULPIT HILL,RD, ,PULPIT HILL,RD,,,,PULPIT HILL RD,00321,,LEVERETT RD,,PULPIT HILL RD,526,582,527,583,1,1,0,2,,,,1,33',1759/04/15 00:00:00+00,{021127C6-DEAC-4682-990E-E1A9E760043B},,,olkinm,2013/07/29 19:13:30+00,AMHERST,AMHERST,01002,01002,MA,MA,
3,S,ORCHARD,DR, ,SOUTH ORCHARD,DR,,,,SOUTH ORCHARD DR,00039,MIDDLE ST,BARRY CIR,,S ORCHARD DR,4,4,5,15,1,1,0,2,,,,,50',,{A2F53F9C-3359-4D1C-97C5-9CA33DA35FC9},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
4, ,RAMBLING,RD, ,RAMBLING,RD,,,,RAMBLING RD,00103,AUTUMN LN,MCINTOSH DR,,RAMBLING RD,42,94,43,85,1,1,0,2,,,,,49.21',,{8BF9253A-6B7B-47CF-8506-5644E86AD9A0},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
5, ,ELF HILL,RD, ,ELF HILL,RD,,,,ELF HILL RD,00159,STAGECOACH RD,ORCHARD ST & HULST RD,,ELF HILL RD,34,52,35,55,1,1,0,2,,,,,50',,{72506E70-5A29-4ACE-997E-944B9194783D},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
6, ,ARROWHEAD,LN, ,ARROWHEAD,LN,,,,ARROWHEAD LN,00166,STAGECOACH RD,HULST RD,,ARROWHEAD LN,0,0,0,0,1,1,0,2,,,,,50',1973/03/01 00:00:00+00,{D1C4ED8E-E7CB-4E8C-8D5D-D28EDEAE86A6},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
7, ,STAGECOACH,RD, ,STAGECOACH,RD,,,,STAGECOACH RD,00173,ARROWHEAD LN,HULST RD,,STAGECOACH RD,52,88,53,81,1,1,0,2,,,,,50',,{005D8FA8-C187-4254-9DC1-8667F5CE055C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
8, ,STAGECOACH,RD, ,STAGECOACH,RD,,,,STAGECOACH RD,00173,ELF HILL RD,ARROWHEAD LN,,STAGECOACH RD,4,48,11,47,1,1,0,2,,,,,50',,{C75AB6A3-29F6-4189-8E4A-C080D39B2551},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
9, ,HULST,RD, ,HULST,RD,,,,HULST RD,00178,BAY RD,STAGECOACH RD,,HULST RD,4,30,5,29,1,8,0,2,,,,,49.5',,{F5057BC8-55E8-4412-8E08-FD3BBC02215F},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
10, ,BAY,RD, ,BAY,RD,,,,BAY RD,00364,S EAST ST & CANTERBURY LN,HULST RD,,BAY RD,870,1050,867,1045,1,8,5,2,,,,1,Variable,6732/04/15 00:00:00+00,{62F26C28-3654-4C1C-B59D-6AFB3F24AB14},,,olkinm,2013/07/29 18:29:04+00,AMHERST,AMHERST,01002,01002,MA,MA,
12, ,COUNTRY CORNERS,, ,COUNTRY CORNERS,,,OlkinM,,COUNTRY CORNERS,00104,WEST ST,RAMBLING RD,2005/03/10 00:00:00+00,COUNTRY CORNERS,15,27,16,28,1,1,0,2,,,,,49.213',1975/05/01 00:00:00+00,{21D86FD0-920E-4733-992E-84D9E1EB8E31},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
13, ,RAMBLING,RD, ,RAMBLING,RD,,,,RAMBLING RD,00103,COUNTRY CORNERS,AUTUMN LN,,RAMBLING RD,0,0,0,0,1,1,0,2,,,,,49.21',,{14DF6A68-E920-4094-BD39-E885EF03B928},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
14, ,COUNTRY CORNERS,, ,COUNTRY CORNERS,,,OlkinM,,COUNTRY CORNERS,00104,RAMBLING RD,END,2005/03/10 00:00:00+00,COUNTRY CORNERS,33,75,34,68,1,1,0,2,,,,,49.213',1975/05/01 00:00:00+00,{6D95D2CB-4260-4DCF-9EF0-D2BD095B8A69},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
15, ,CHESTNUT,ST, ,CHESTNUT,ST,,,,CHESTNUT ST,00217,EAMES PL,ARHS & ARMS DRIVEWAYS,,CHESTNUT ST,110,168,109,167,1,8,0,2,,,25,,49.5',1883/04/15 00:00:00+00,{EEE1CD31-7341-4700-9F9B-8C9C6A5F35A7},,,olkinm,2013/08/06 16:54:31+00,AMHERST,AMHERST,01002,01002,MA,MA,
16, ,MCCLURE,ST, ,MCCLURE,ST,,,,MCCLURE ST,00214,SUNSET CT,N HADLEY RD,,MCCLURE ST,44,50,35,35,1,8,0,2,,,,,40',,{315537FE-2ED7-4FFB-8570-A0ED74FF44FA},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
17, ,HARTMAN,RD, ,HARTMAN,RD,,,,HARTMAN RD,00152,VAN METER DR,HARLOW DR,,HARTMAN RD,12,42,5,37,1,1,0,2,,,,,,,{4390E807-5F7E-47AA-B1BD-00CCFCB8335A},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
18, ,FLAT HILLS,RD, ,FLAT HILLS,RD,,,,FLAT HILLS RD,00282,SHUTESBURY RD,HIGH POINT DR,,FLAT HILLS RD,2,398,1,399,1,8,0,2,,,,1,Variable,1774/04/15 00:00:00+00,{678BEA61-0B59-46FB-8103-271AD1256D49},,,olkinm,2013/08/06 19:59:42+00,AMHERST,AMHERST,01002,01002,MA,MA,
19, ,SHUTESBURY,RD, ,SHUTESBURY,RD,,,,SHUTESBURY RD,00280,HENRY ST & N EAST ST,FLAT HILLS RD,,SHUTESBURY RD,0,0,0,0,1,8,0,2,,,,1,,,{D0FFCAC4-C539-4C44-93F3-3F9DF8CCEB56},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
20, ,HENRY,ST, ,HENRY,ST,,,,HENRY ST,00319,PINE ST,SHUTESBURY RD & N EAST ST,,HENRY ST,110,428,107,435,1,8,5,2,,,,1,Variable,,{E758D143-1055-48A5-8FC7-7D84F467BE34},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
21, ,SHUTESBURY,RD, ,SHUTESBURY,RD,,,,SHUTESBURY RD,00280,,"PRATT CORNER RD, SHUTESBURY",,SHUTESBURY RD,106,338,105,339,1,8,0,2,,,,1,33',,{49EEE0E6-08EB-4358-8490-6F927432EE2F},,,olkinm,2013/08/06 16:45:34+00,AMHERST,AMHERST,01002,01002,MA,MA,
22, ,VAN METER,DR, ,VAN METER,DR,,,,VAN METER DR,00153,HARTMAN RD,RIDGECREST RD,,VAN METER DR,94,110,97,115,1,1,0,2,,,,,50',,{8946043A-0ABE-40C6-A3AB-63A249FFC4D3},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
23, ,COLLEGE,ST, ,COLLEGE,ST,,,,COLLEGE ST,00329,SHUMWAY ST,BELCHERTOWN RD & S EAST ST,,COLLEGE ST,308,390,307,389,1,8,2,2,SR,9,,,Variable,1881/04/15 00:00:00+00,{4460D928-E790-4557-A269-B75EC91BC299},,,olkinm,2013/08/20 18:47:50+00,AMHERST,AMHERST,01002,01002,MA,MA,
24, ,DANA,ST, ,DANA,ST,,,,DANA ST,00224,AMITY ST,DANA PL,,DANA ST,2,56,1,53,1,1,0,2,,,,,49.5',1919/03/01 00:00:00+00,{C1EF66CB-095F-4615-BD7F-1CD1CDCF55AC},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
25, ,NOAH WEBSTER,CIR, ,NOAH WEBSTER,CIR,,,,NOAH WEBSTER CIR,,COLLEGE ST, ,,NOAH WEBSTER CIR,12,52,11,53,1,5,0,H,,,,,,,{A7D9625D-A6D4-483A-ABEF-C5959F68D8E2},,,OLKINM,2016/06/03 16:08:26+00,AMHERST,AMHERST,01002,01002,MA,MA,
27, ,NORTHAMPTON,RD, ,NORTHAMPTON,RD,,,,NORTHAMPTON RD,,S PLEASANT ST & COLLEGE ST,S PROSPECT ST,,NORTHAMPTON RD,0,0,19,19,1,3,2,1,SR,9,,,,,{6AA3AF13-B211-41B5-B76D-7CB3050BB0D0},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
28,S,PROSPECT,ST, ,SOUTH PROSPECT,ST,,,,SOUTH PROSPECT ST,00272,SELLEN ST,NORTHAMPTON RD,,S PROSPECT ST,0,0,55,75,1,8,0,2,,,,,45',,{94EA401C-6C14-4A64-85B1-232FF0CBEA27},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
29, ,BELCHERTOWN,RD, ,BELCHERTOWN,RD,,,,BELCHERTOWN RD,,S EAST ST, ,,BELCHERTOWN RD,2,12,0,0,1,1,0,2,,,,,49.5',1962/04/15 00:00:00+00,{C27FB16E-1DBA-4437-A357-7CC669D81AF1},,,olkinm,2013/08/20 18:49:35+00,AMHERST,AMHERST,01002,01002,MA,MA,
30, ,BELCHERTOWN,RD, ,BELCHERTOWN,RD,,,,BELCHERTOWN RD,00327,COLLEGE ST & SOUTH EAST ST, ,,BELCHERTOWN RD,0,0,1,11,1,1,2,2,SR,9,,,49.5',1962/04/15 00:00:00+00,{71C83584-9FDD-4200-802B-E4B7579F04E5},,,olkinm,2013/08/20 18:49:21+00,AMHERST,AMHERST,01002,01002,MA,MA,
31, ,NORTHAMPTON,RD, ,NORTHAMPTON,RD,,,,NORTHAMPTON RD,,S PROSPECT ST,WOODSIDE AVE,,NORTHAMPTON RD,32,32,35,35,1,3,2,1,SR,9,,,,,{D32031EA-81BC-4DE7-889E-D6554002AD2B},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
32,S,PLEASANT,ST, ,SOUTH PLEASANT,ST,,,,SOUTH PLEASANT ST,00393,NORTHAMPTON RD & COLLEGE ST,QUADRANGLE,,S PLEASANT ST,0,0,0,0,1,8,3,2,SR,116,,,Variable,,{A0367646-8C98-4F86-8578-1CB352A2D2B8},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
33, ,PLUMTREES,RD, ,PLUMTREES,RD,,,,PLUMTREES RD,00031,MONTAGUE RD,"PLUMTREE RD, LEVERETT",,PLUMTREES RD,2,32,1,31,1,1,6,2,,,,1,33',1973/03/01 00:00:00+00,{9D5A9CEE-1F2B-468D-BBDF-155857CC881C},,,olkinm,2013/07/29 19:08:34+00,AMHERST,AMHERST,01002,01002,MA,MA,
35, ,MONTAGUE,RD, ,MONTAGUE,RD,,,,MONTAGUE RD,,OLD MONTAGUE RD,PLUMTREES RD,,MONTAGUE RD,486,542,485,541,1,3,3,1,SR,63,,,,1758/04/15 00:00:00+00,{BF6A96B3-1837-4197-A670-00759874D717},,,olkinm,2013/07/29 19:06:04+00,AMHERST,AMHERST,01002,01002,MA,MA,
36, ,JANUARY HILLS,RD, ,JANUARY HILLS,RD,,,,JANUARY HILLS RD,00337,MARKET HILL RD,"E LEVERETT RD, SHUTESBURY",,JANUARY HILLS RD,2,6,1,5,1,8,0,2,,,,,40',1795/04/15 00:00:00+00,{6B630264-FD2F-4ADB-91A0-A40921185094},,,olkinm,2013/07/29 19:23:34+00,AMHERST,AMHERST,01002,01002,MA,MA,
37, ,MARKET HILL,RD, ,MARKET HILL,RD,,,,MARKET HILL RD,00279,FLAT HILLS RD,JANUARY HILLS RD,,MARKET HILL RD,344,550,343,551,1,8,0,2,,,,1,40',1759/04/15 00:00:00+00,{8B1840CA-1F54-4989-9F9D-083694440119},,,olkinm,2013/07/29 19:21:51+00,AMHERST,AMHERST,01002,01002,MA,MA,
38, ,MARKET HILL,RD, ,MARKET HILL,RD,,OlkinM,,MARKET HILL RD,00279,JANUARY HILLS RD,"CUSHMAN RD, SHUTESBURY",,MARKET HILL RD,552,590,553,591,1,8,0,2,,,,1,,1759/04/15 00:00:00+00,{5DC2330F-9477-4AC9-B20E-B10D496F131F},,,olkinm,2013/07/29 19:23:10+00,AMHERST,AMHERST,01002,01002,MA,MA,
39, ,MONTAGUE,RD, ,MONTAGUE,RD,,,,MONTAGUE RD,,OLD MONTAGUE RD,OLD MONTAGUE RD,,MONTAGUE RD,374,484,373,483,1,3,3,1,SR,63,,,,1946/04/15 00:00:00+00,{59AE8F51-7339-4BE3-A113-96E8C4F56F13},,,olkinm,2013/07/29 19:04:22+00,AMHERST,AMHERST,01002,01002,MA,MA,
40, ,OLD MONTAGUE,RD, ,OLD MONTAGUE,RD,,,,OLD MONTAGUE RD,00281,MONTAGUE RD,MONTAGUE RD,,OLD MONTAGUE RD,374,474,375,473,1,8,0,2,,,,,Variable,1946/04/15 00:00:00+00,{4219F4A5-C497-40CF-A16D-BF52F2FBA329},,,olkinm,2013/07/29 19:09:25+00,AMHERST,AMHERST,01002,01002,MA,MA,
41, ,SUNDERLAND,RD, ,SUNDERLAND,RD,,,,SUNDERLAND RD,,ROUTE 116 & SUNDERLAND RD,"AMHERST RD, SUNDERLAND",,SUNDERLAND RD,400,486,401,515,1,3,3,1,SR,116,,,,,{429D68CB-6EEF-4ED4-83A6-86C9B8BA9EEE},,,olkinm,2013/07/25 18:17:27+00,AMHERST,AMHERST,01002,01002,MA,MA,
42, ,LEVERETT,RD, ,LEVERETT,RD,,,,LEVERETT RD,00022,PULPIT HILL RD,"AMHERST RD, LEVERETT",,LEVERETT RD,42,366,43,365,1,8,5,2,,,,1,Variable,1774/04/15 00:00:00+00,{5B17C521-27D2-4F53-8359-EE6995BD9950},,,olkinm,2013/07/29 19:16:46+00,AMHERST,AMHERST,01002,01002,MA,MA,
43,E,LEVERETT,RD, ,EAST LEVERETT,RD,,,,EAST LEVERETT RD,00007,LEVERETT RD & BRIDGE ST,"CUSHMAN RD, LEVERETT",,E LEVERETT RD,2,598,1,599,1,8,5,2,,,,1,33',1835/04/15 00:00:00+00,{F884C1C1-6DA6-42D8-9546-CE78468ACF6F},,,olkinm,2013/07/29 19:17:45+00,AMHERST,AMHERST,01002,01002,MA,MA,
44, ,LEVERETT,RD, ,LEVERETT,RD,,,,LEVERETT RD,00022,E LEVERETT RD & BRIDGE ST,PULPIT HILL RD,,LEVERETT RD,2,40,1,41,1,8,5,2,,,,1,Variable,1774/04/15 00:00:00+00,{63C3F5E0-CC10-4E83-BAEE-F3304909C759},,,olkinm,2013/07/29 19:15:48+00,AMHERST,AMHERST,01002,01002,MA,MA,
45, ,BRIDGE,ST, ,BRIDGE,ST,,,,BRIDGE ST,00390,STATE ST,E LEVERETT RD & LEVERETT RD,,BRIDGE ST,150,152,151,153,1,8,5,2,,,,,,1794/04/15 00:00:00+00,{EF2C9518-1F3A-4623-A4A5-9A3DF982C0F8},,,olkinm,2013/07/29 19:18:53+00,AMHERST,AMHERST,01002,01002,MA,MA,
46, ,HIGH POINT,DR, ,HIGH POINT,DR,,,,HIGH POINT DR,00352,FLAT HILLS RD,OVERLOOK DR,,HIGH POINT DR,2,68,1,67,1,1,0,2,,,,,60',1972/03/01 00:00:00+00,{0F24F0DD-B07C-4F8F-B1D9-B50C036EA617},,,olkinm,2013/08/06 19:53:00+00,AMHERST,AMHERST,01002,01002,MA,MA,
47, ,FLAT HILLS,RD, ,FLAT HILLS,RD,,,,FLAT HILLS RD,00283,HIGH POINT DR,MARKET HILL RD,,FLAT HILLS RD,400,580,401,581,1,8,0,2,,,,1,Variable,1774/04/15 00:00:00+00,{DFD5BB6A-EC43-41C8-A712-4DFBC9CAE33A},,,olkinm,2013/08/06 19:58:48+00,AMHERST,AMHERST,01002,01002,MA,MA,
48, ,MONTAGUE,RD, ,MONTAGUE,RD,,,,MONTAGUE RD,,PULPIT HILL RD,OLD MONTAGUE RD,,MONTAGUE RD,214,372,213,371,1,3,3,1,SR,63,,,,1759/04/15 00:00:00+00,{6A16D0C1-91E0-44E8-9347-B3CFD2963242},,,olkinm,2013/07/29 19:03:14+00,AMHERST,AMHERST,01002,01002,MA,MA,
49, ,PULPIT HILL,RD, ,PULPIT HILL,RD,,,,PULPIT HILL RD,00320,MONTAGUE RD,MILL ST,,PULPIT HILL RD,2,120,1,119,1,8,0,2,,,,1,33',1883/04/15 00:00:00+00,{54245836-8AFC-4C98-AC27-E7ADB4AA94D1},,,olkinm,2013/07/29 19:11:42+00,AMHERST,AMHERST,01002,01002,MA,MA,
50, ,,, ,,,,,,,,MILL ST & SUMMER ST,END,,,0,0,0,0,1,1,0,,,,,,,,{E257D24F-81A7-43DC-8891-24789C1F9DF3},,,olkinm,2013/07/29 19:52:51+00,AMHERST,AMHERST,01002,01002,MA,MA,
51, ,MILL,ST, ,MILL,ST,,,,MILL ST,00355, & SUMMER ST,PULPIT HILL RD,,MILL ST,67,105,68,106,1,8,0,2,,,,1,33',1883/04/15 00:00:00+00,{AED55FC8-782E-49AD-B289-376EB76219F6},,,olkinm,2013/07/29 19:52:31+00,AMHERST,AMHERST,01002,01002,MA,MA,
52,S,EAST,ST, ,SOUTH EAST,ST,,,,SOUTH EAST ST,00373,BELCHERTOWN RD,COLLEGE ST & BELCHERTOWN RD,,S EAST ST,90,98,89,97,1,8,5,2,,,,1,Variable,,{1CB35C2A-ECEF-498E-9807-CB56A224A417},,,olkinm,2013/08/06 15:51:19+00,AMHERST,AMHERST,01002,01002,MA,MA,
54, ,CLARK HILL,RD, ,CLARK HILL,RD,,,,CLARK HILL RD,,BUTTERFIELD TER,ORCHARD HILL DR,,CLARK HILL RD,160,160,149,159,1,4,0,B,,,,,,,{61AC9456-15BF-41CA-9BFF-9720B06D39FE},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
55, ,CLARK HILL,RD, ,CLARK HILL,RD,,,,CLARK HILL RD,,INFIRMARY WAY,BUTTERFIELD TER,,CLARK HILL RD,0,0,0,0,1,4,0,B,,,,,,,{6955A0E2-0D0D-461A-8754-74DC970C6FF0},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
57, ,COMMONWEALTH,AVE, ,COMMONWEALTH,AVE,,,,COMMONWEALTH AVE,,CAMPUS CENTER WAY,HICKS WAY,,COMMONWEALTH AVE,0,0,0,0,1,4,5,B,,,,,,,{92B728CD-3431-42B6-8C4F-C18AABFBD7CE},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
59,E,PLEASANT,ST, ,EAST PLEASANT,ST,,,,EAST PLEASANT ST,00295,STRONG ST,CLARK HILL RD,,E PLEASANT ST,288,288,289,289,1,1,5,2,,,,1,Variable,1835/04/15 00:00:00+00,{DFD061E2-09CA-4121-9DD6-AAD51C34B5B6},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
60, ,WILDWOOD CEMETERY, , ,WILDWOOD CEMETERY, ,,,,WILDWOOD CEMETERY,,STRONG ST,END,,WILDWOOD CEMETERY,0,0,0,0,1,1,0,,,,,,,,{6874D338-6B7F-46B6-AAEF-169C36264F1D},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
61, ,WILDWOOD,LN, ,WILDWOOD,LN,,,,WILDWOOD LN,00181,STRONG ST,END,,WILDWOOD LN,6,54,5,53,1,1,0,2,,,,,40',,{A1B4DA1F-6AB4-4DEB-9318-D224303A1BBC},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
62, ,STRONG,ST, ,STRONG,ST,,,,STRONG ST,00346,E PLEASANT ST,WILDWOOD LN,,STRONG ST,8,8,7,7,1,8,5,2,,,,1,Variable,,{36A8184B-0067-4275-952B-5608A3A6BCA9},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
64, ,STRONG,ST, ,STRONG,ST,,,,STRONG ST,00346,WILDWOOD LN,WILDWOOD CEMETERY,,STRONG ST,20,70,11,69,1,8,5,2,,,20,1,Variable,,{DB165423-9C87-4366-84FD-C76CF1E4AE1C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
65, ,STOCKBRIDGE,RD, ,STOCKBRIDGE,RD,,,,STOCKBRIDGE RD,,CHANCELLORS DR, ,,STOCKBRIDGE RD,110,270,111,269,1,4,0,B,,,,,,,{06771D64-6231-4023-9322-54D7F1694F5F},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
66, ,STRONG,ST, ,STRONG,ST,,,,STRONG ST,00346,HILLS RD,RED GATE LN,,STRONG ST,173,181,164,194,1,8,5,2,,,,1,Variable,,{0270A42D-6013-480B-A38A-CF9D946E6718},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
71, ,STRONG,ST, ,STRONG,ST,,,,STRONG ST,00346,RED GATE LN,MAPLEWOOD DR,,STRONG ST,202,232,219,233,1,8,5,2,,,,1,Variable,,{18A8B7E0-E4ED-4B7E-98B7-F795ACB6EEA0},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
72,E,PLEASANT,ST, ,EAST PLEASANT,ST,,,,EAST PLEASANT ST,00294,STRONG ST,,,E PLEASANT ST,250,276,249,275,1,8,5,2,,,,1,Variable,1835/04/15 00:00:00+00,{D12C6BD0-0DB1-4513-9032-31C85539F6F3},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
73, ,OLYMPIA,DR, ,OLYMPIA,DR,,,,OLYMPIA DR,,E PLEASANT ST,AUTHORITY WAY,,OLYMPIA DR,1,51,0,0,1,1,0,2,,,,,,,{153A0AE5-70D0-4C79-92F5-18F4D1333446},,,WARNERM,2019/02/22 16:22:36+00,AMHERST,AMHERST,01002,01002,MA,MA,
74, ,OLYMPIA,DR, ,OLYMPIA,DR,,,,OLYMPIA DR,,MATHER DR,AUTHORITY WAY,,OLYMPIA DR,0,0,0,0,1,1,0,2,,,,,,,{8C7F670C-9C49-4FA8-A3FE-9BE4275ABB28},,,WARNERM,2019/02/22 16:22:36+00,AMHERST,AMHERST,01002,01002,MA,MA,
75, ,GOVERNORS,DR, ,GOVERNORS,DR,,,,GOVERNORS DR,,EASTMAN LN & N PLEASANT ST,N SERVICE DR,2005/03/31 00:00:00+00,GOVERNORS DR,2,260,1,259,1,4,5,B,,,,,,,{FAE87696-092B-45AA-9EBA-07E57F1F5521},,,olkinm,2013/08/01 14:30:22+00,AMHERST,AMHERST,01002,01002,MA,MA,
77,N,SERVICE,DR, ,NORTH SERVICE,DR,,,,NORTH SERVICE DR,,GOVERNORS DR,HOLDSWORTH WAY,,N SERVICE DR,0,0,0,0,1,4,0,B,,,,,,,{BD099ECD-2A33-4A86-ABD7-B01FAF135B17},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
79,E,PLEASANT,ST, ,EAST PLEASANT,ST,,,,EAST PLEASANT ST,00295,VILLAGE PARK,OLYMPIA DR,,E PLEASANT ST,504,504,505,505,1,8,5,2,,,,1,Variable,1835/04/15 00:00:00+00,{35DEF225-FA4B-49B9-A9BA-6799981B34D7},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
81, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,E PLEASANT ST, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{8A5B5151-EEC4-41F9-8661-BD9B04929957},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
82, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{BF19C6DB-2558-476E-BB90-A4A3A375CAEE},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
83, ,GOVERNORS,DR, ,GOVERNORS,DR,,,,GOVERNORS DR,,N SERVICE DR,FORESTRY WAY,2005/03/31 00:00:00+00,GOVERNORS DR,0,0,0,0,1,4,5,B,,,,,,,{A0D87F1A-92F8-432F-8C24-57D9AA51471D},,,olkinm,2013/08/01 14:30:48+00,AMHERST,AMHERST,01002,01002,MA,MA,
84, ,OBSERVATORY,RD, ,OBSERVATORY,RD,,,,OBSERVATORY RD,,,END,,OBSERVATORY RD,97,103,98,104,1,4,0,B,,,,,,,{B4105EBD-AD78-4513-99E6-F9FF0F28B4CB},,,olkinm,2013/08/01 13:44:20+00,AMHERST,AMHERST,01002,01002,MA,MA,
85, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{C282A46A-A794-4DB7-99CF-D8610CC2D479},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
87,E,HADLEY,RD, ,EAST HADLEY,RD,,,,EAST HADLEY RD,00331,BRITTANY MANOR DR,CHESTERFIELD DR,,E HADLEY RD,0,0,0,0,1,8,6,2,,,,,Variable,1830/04/15 00:00:00+00,{80916FB2-A536-4F18-8F63-55E5F56A747B},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
88, ,MILL,LN, ,MILL,LN,,,,MILL LN,,,,,MILL LN,26,146,29,351,2,8,0,2,,,,1,33',,{25761BDB-5029-4215-AE86-D05CFB8C7176},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
89,E,HADLEY,RD, ,EAST HADLEY,RD,,,,EAST HADLEY RD,00331,RIVERGLADE DR,BRITTANY MANOR DR,,E HADLEY RD,170,188,177,197,1,8,6,2,,,,,Variable,1830/04/15 00:00:00+00,{2ED5910D-6CC4-46FB-B0AA-C14BAD5979C7},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
90, ,TANGLEWOOD,RD, ,TANGLEWOOD,RD,,,,TANGLEWOOD RD,00048,WILDFLOWER DR,WHITE PINE RD,,TANGLEWOOD RD,8,12,11,19,1,1,0,2,,,,,,2004/11/01 00:00:00+00,{CB94EC9F-2456-41F4-AC0C-5E162259528C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
91, ,WILDFLOWER,DR, ,WILDFLOWER,DR,,,,WILDFLOWER DR,00050,TANGLEWOOD RD,SUMMERFIELD RD,,WILDFLOWER DR,174,186,179,185,1,1,0,2,,,,,,,{F7CE3FFF-8663-47D7-B6EB-878FACFB66A5},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
92, ,OLD FARM,RD, ,OLD FARM,RD,,,,OLD FARM RD,00056,WOODLOT RD,HOP BROOK RD,,OLD FARM RD,501,525,518,518,1,1,0,2,,,,,60',,{5D37D8BB-CB02-4CF8-8A20-C032EBA78CA6},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
93, ,UNIVERSITY,DR, ,UNIVERSITY,DR,,,,UNIVERSITY DR,00314,AMITY ST & N UNIVERSITY DR,NORTHAMPTON RD,,UNIVERSITY DR,6,190,55,205,1,1,5,2,,,,,,,{DF69F3D8-8261-46F2-BDE4-62BA01FA70F5},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
94, ,BLOSSOM,LN, ,BLOSSOM,LN,,,,BLOSSOM LN,00041,S ORCHARD DR,END,,BLOSSOM LN,45,81,44,70,1,1,0,2,,,,,60',1974/05/01 00:00:00+00,{43BB92A5-CF82-4467-A4D7-5425ACDFA07E},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
