OBJECTID,PREFIX,NAME,TYPE,SUFFIX,POLICENAME,POLICETYPE,Date_Added,Editor,Method,FULLPOLNAME,CarteID,CrossStreetA,CrossStreetB,Date_Changed,FULL_NAME,LF_Addr,LT_Addr,RF_Addr,RT_Addr,MATERIAL,OWNER,FUNCTIONALCLASSIFICATION,JURISDICTION,ROUTESYSTEM,ROUTENUMBER,SpeedLimit,Scenic,RowWidth,AcceptDate,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNILEFT,MUNIRIGHT,ZIPLEFT,ZIPRIGHT,STATELEFT,STATERIGHT,OneWay
446, ,PRESIDENTIAL APARTMENTS,DR, ,PRESIDENTIAL APARTMENTS,DR,,,,PRESIDENTIAL APARTMENTS DR,,, ,,PRESIDENTIAL APARTMENTS DR,0,0,0,0,1,2,0,H,,,,,,,{B6B020EA-42CD-43F0-9206-740BA75DBA8A},,,OLKINM,2014/03/10 16:01:51+00,AMHERST,AMHERST,01002,01002,MA,MA,
447, ,SHEERMAN,LN, ,SHEERMAN,LN,,,,SHEERMAN LN,00023,E PLEASANT ST,EMILY LN,,SHEERMAN LN,12,40,23,39,1,1,0,2,,,,,50',,{897DB098-416C-425D-9678-5FD31AED8B7E},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
448, ,SHEERMAN,LN, ,SHEERMAN,LN,,,,SHEERMAN LN,00023,EMILY LN,END,,SHEERMAN LN,46,56,45,55,1,1,0,2,,,,,50',,{280ED4D0-50B3-4DEF-A802-A874D689553C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
449, ,NATURAL RESOURCES,RD, ,NATURAL RESOURCES,RD,,,,NATURAL RESOURCES RD,,,HOLDSWORTH WAY,,NATURAL RESOURCES RD,2,132,1,129,1,4,0,B,,,,,,,{94EDD0BD-F6FF-49D2-AD70-BD1F7AF3F837},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
450, ,HOLDSWORTH,WAY, ,HOLDSWORTH,WAY,,,,HOLDSWORTH WAY,,N SERVICE DR,NATURAL RESOURCES RD,,HOLDSWORTH WAY,0,0,0,0,1,4,0,B,,,,,,,{282A1FBE-EACA-4188-BCF5-F816FE1CAEA3},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
451, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{0AB85BB0-6A61-4C67-982E-7CDEC8D7F706},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
452, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{413E6DE0-A7E3-420C-BA34-3C5EF0E50C33},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
453, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{D8BF6EC4-7864-444B-8804-A922A5B5071C},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
454, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{6E2D2055-FBB8-4FC1-81BE-521F5002ED7A},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
455, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{C03BCAD4-E732-4A8B-8CEE-B025D37DBC6D},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
